,Temporada,Jornada,Partit,L,V,L-P,L-G,L-XP,L-XF,L-XT,L-PP,L-C,L-FJ,L-TG,L-TV,L-AS,L-XPA,L-L,L-S,L-F,L-PC,V-P,V-G,V-XP,V-XF,V-XT,V-PP,V-C,V-FJ,V-TG,V-TV,V-AS,V-XPA,V-L,V-S,V-F,V-PC
0,2018/2019,1,Girona-Fc/Valladolid,Girona-Fc,Valladolid,68%,0,1,12,13,1,3,1,1,0,0,0,0,3,21,0,32%,0,1,1,2,1,2,1,1,0,0,0,0,3,20,0
1,2018/2019,1,Betis/Levante,Betis,Levante,77%,0,8,13,21,1,5,2,0,0,0,0,0,3,10,0,23%,3,4,2,6,8,3,4,2,0,2,0,0,3,10,0
2,2018/2019,1,Celta/Espanyol,Celta,Espanyol,48%,1,2,7,9,4,7,3,3,0,0,0,0,3,11,0,52%,1,5,8,13,1,7,1,1,0,0,0,0,3,12,0
3,2018/2019,1,Villarreal/Real-Sociedad,Villarreal,Real-Sociedad,51%,1,6,7,13,2,4,0,3,0,1,0,0,3,16,0,49%,2,4,4,8,5,6,3,2,0,0,0,0,3,10,0
4,2018/2019,1,Barcelona/Alaves,Barcelona,Alaves,78%,3,9,16,25,0,7,3,0,0,2,2,0,3,6,0,22%,0,0,3,3,6,1,0,2,0,0,0,1,3,13,0
5,2018/2019,1,Eibar/Huesca,Eibar,Huesca,68%,1,6,12,18,4,7,0,1,0,1,0,0,3,12,0,32%,2,6,2,8,5,0,2,0,0,1,0,0,3,12,0
6,2018/2019,1,Rayo-Vallecano/Sevilla,Rayo-Vallecano,Sevilla,48%,1,2,9,11,4,2,3,1,0,0,1,0,2,6,0,52%,4,8,9,17,1,6,5,0,0,4,0,0,3,14,0
7,2018/2019,1,Real-Madrid/Getafe,Real-Madrid,Getafe,78%,2,3,7,10,0,3,6,1,0,1,2,0,3,10,0,22%,0,0,3,3,1,0,0,7,0,0,0,0,3,26,0
8,2018/2019,1,Valencia-Cf/Atletico-Madrid,Valencia-Cf,Atletico-Madrid,50%,1,3,9,12,2,4,0,2,0,1,1,1,3,10,0,50%,1,3,5,8,2,9,6,3,0,1,0,0,3,15,0
9,2018/2019,1,Athletic-Bilbao/Leganes,Athletic-Bilbao,Leganes,66%,2,5,12,17,1,6,0,4,0,2,0,1,3,12,0,34%,1,2,10,12,3,2,1,5,0,0,0,1,3,12,0
10,2018/2019,2,Getafe/Eibar,Getafe,Eibar,36%,2,4,3,7,0,5,2,2,0,1,0,0,3,14,0,64%,0,0,9,9,2,5,5,0,0,0,0,0,3,11,0
11,2018/2019,2,Leganes/Real-Sociedad,Leganes,Real-Sociedad,66%,2,6,12,18,3,5,2,0,0,2,1,0,3,11,0,34%,2,5,1,6,4,0,3,2,0,1,0,1,3,9,0
12,2018/2019,2,Alaves/Betis,Alaves,Betis,32%,0,4,12,16,5,5,1,3,0,0,0,0,3,17,0,68%,0,5,8,13,4,6,5,1,0,0,0,0,3,14,0
13,2018/2019,2,Atletico-Madrid/Rayo-Vallecano,Atletico-Madrid,Rayo-Vallecano,46%,1,2,7,9,2,8,4,1,0,1,0,1,3,6,0,54%,0,2,9,11,1,5,1,1,0,0,0,0,3,8,0
14,2018/2019,2,Valladolid/Barcelona,Valladolid,Barcelona,34%,0,4,2,6,3,6,1,1,0,0,0,0,3,13,0,66%,1,4,6,10,4,9,1,1,0,1,0,0,3,12,0
15,2018/2019,2,Espanyol/Valencia-Cf,Espanyol,Valencia-Cf,48%,2,9,10,19,4,6,2,1,0,1,1,0,3,14,0,52%,0,4,11,15,7,9,1,1,0,0,0,0,3,10,0
16,2018/2019,2,Girona-Fc/Real-Madrid,Girona-Fc,Real-Madrid,33%,1,4,4,8,4,4,2,2,0,0,0,0,3,13,0,67%,4,8,11,19,3,5,1,3,0,2,0,0,3,10,0
17,2018/2019,2,Sevilla/Villarreal,Sevilla,Villarreal,52%,0,2,17,19,6,4,0,3,0,0,1,1,3,13,0,48%,0,6,8,14,2,5,1,2,0,0,0,0,3,14,0
18,2018/2019,2,Levante/Celta,Levante,Celta,54%,1,6,8,14,7,7,1,2,0,0,0,0,3,13,0,46%,2,9,11,20,5,7,4,3,0,2,1,0,3,8,0
19,2018/2019,2,Athletic-Bilbao/Huesca,Athletic-Bilbao,Huesca,59%,2,4,10,14,3,3,2,2,0,2,2,0,3,14,0,41%,2,5,5,10,2,2,1,2,0,2,0,0,3,16,0
20,2018/2019,3,Getafe/Valladolid,Getafe,Valladolid,52%,0,3,9,12,4,6,1,3,0,0,1,0,3,22,0,48%,0,4,3,7,3,7,1,1,0,0,0,0,3,14,0
21,2018/2019,3,Eibar/Real-Sociedad,Eibar,Real-Sociedad,57%,2,2,6,8,1,4,3,3,0,2,0,2,3,17,0,43%,1,2,5,7,0,2,3,2,0,0,0,2,3,15,0
22,2018/2019,3,Villarreal/Girona-Fc,Villarreal,Girona-Fc,65%,0,4,10,14,5,7,1,3,0,0,0,1,3,15,0,35%,1,6,8,14,4,2,1,2,0,1,0,1,3,11,0
23,2018/2019,3,Celta/Atletico-Madrid,Celta,Atletico-Madrid,49%,2,3,5,8,0,2,3,3,0,1,0,0,3,12,0,51%,0,0,9,9,1,8,1,5,1,0,0,0,3,13,0
24,2018/2019,3,Real-Madrid/Leganes,Real-Madrid,Leganes,77%,4,7,9,16,2,8,1,1,0,3,0,0,3,10,0,23%,1,3,4,7,3,1,1,1,0,0,0,0,3,11,0
25,2018/2019,3,Levante/Valencia-Cf,Levante,Valencia-Cf,45%,2,4,9,13,3,3,4,4,1,1,1,1,3,14,0,55%,2,5,13,18,2,5,4,2,0,1,2,0,3,10,0
26,2018/2019,3,Alaves/Espanyol,Alaves,Espanyol,36%,2,5,3,8,6,0,2,4,0,1,0,0,3,19,0,64%,1,7,4,11,3,10,1,3,0,0,0,0,3,12,0
27,2018/2019,3,Barcelona/Huesca,Barcelona,Huesca,68%,8,14,14,28,1,9,2,1,0,6,2,0,3,6,0,32%,2,3,4,7,7,4,1,2,0,2,0,0,3,11,0
28,2018/2019,3,Betis/Sevilla,Betis,Sevilla,62%,1,3,8,11,2,5,4,3,0,1,0,1,3,15,0,38%,0,2,6,8,2,8,4,6,1,0,1,1,3,17,0
29,2018/2019,3,Rayo-Vallecano/Athletic-Bilbao,Rayo-Vallecano,Athletic-Bilbao,33%,1,3,8,11,3,5,0,1,0,0,0,0,3,12,0,67%,1,4,8,12,2,4,4,1,0,0,1,0,3,9,0
30,2018/2019,4,Huesca/Rayo-Vallecano,Huesca,Rayo-Vallecano,54%,0,4,10,14,1,6,1,1,0,0,0,0,3,14,0,46%,1,2,12,14,4,3,0,1,0,1,1,0,3,17,0
31,2018/2019,4,Atletico-Madrid/Eibar,Atletico-Madrid,Eibar,57%,1,9,9,18,2,14,3,2,0,1,1,0,2,5,0,43%,1,3,9,12,8,3,1,2,0,0,2,1,3,21,0
32,2018/2019,4,Real-Sociedad/Barcelona,Real-Sociedad,Barcelona,30%,1,5,2,7,4,1,2,1,0,0,0,0,3,17,0,70%,2,6,5,11,4,6,0,1,0,1,0,0,3,8,0
33,2018/2019,4,Valencia-Cf/Betis,Valencia-Cf,Betis,39%,0,2,9,11,6,5,0,5,0,0,1,1,3,21,0,61%,0,6,6,12,2,4,1,3,0,0,0,0,3,8,0
34,2018/2019,4,Athletic-Bilbao/Real-Madrid,Athletic-Bilbao,Real-Madrid,39%,1,3,8,11,5,0,2,6,0,0,0,1,3,18,0,61%,1,6,10,16,2,2,5,2,0,1,0,0,3,6,0
35,2018/2019,4,Leganes/Villarreal,Leganes,Villarreal,46%,0,3,12,15,2,6,3,3,0,0,0,0,3,16,0,54%,1,3,6,9,3,1,2,2,0,1,1,0,3,7,0
36,2018/2019,4,Espanyol/Levante,Espanyol,Levante,56%,1,8,13,21,4,5,0,1,0,1,0,0,3,16,0,44%,0,4,12,16,7,4,0,1,0,0,0,1,3,12,0
37,2018/2019,4,Valladolid/Alaves,Valladolid,Alaves,59%,0,5,9,14,3,6,1,3,0,0,0,0,3,9,0,41%,1,3,6,9,5,2,0,2,0,1,0,0,3,12,0
38,2018/2019,4,Sevilla/Getafe,Sevilla,Getafe,69%,0,1,13,14,3,7,6,3,0,0,0,0,3,10,0,31%,2,5,5,10,1,1,1,6,0,1,0,1,3,22,0
39,2018/2019,4,Girona-Fc/Celta,Girona-Fc,Celta,33%,3,6,5,11,4,3,0,1,0,3,0,1,3,15,0,67%,2,6,13,19,3,1,2,3,1,1,0,0,3,11,0
40,2018/2019,5,Huesca/Real-Sociedad,Huesca,Real-Sociedad,47%,0,2,9,11,0,7,0,5,0,0,0,0,3,15,0,53%,1,1,6,7,2,5,2,3,2,1,0,0,3,12,0
41,2018/2019,5,Rayo-Vallecano/Alaves,Rayo-Vallecano,Alaves,51%,1,4,9,13,2,8,3,1,1,0,1,1,3,14,0,49%,5,7,4,11,3,4,3,2,0,3,0,0,3,12,0
42,2018/2019,5,Celta/Valladolid,Celta,Valladolid,48%,3,5,7,12,1,7,1,2,0,2,0,0,3,9,0,52%,3,3,10,13,2,8,1,2,0,3,2,0,3,11,0
43,2018/2019,5,Eibar/Leganes,Eibar,Leganes,57%,1,3,11,14,2,5,2,1,0,0,2,2,3,15,0,43%,0,2,2,4,2,2,7,1,0,0,0,0,3,17,0
44,2018/2019,5,Getafe/Atletico-Madrid,Getafe,Atletico-Madrid,43%,0,2,9,11,1,1,0,1,1,0,0,0,3,11,0,57%,2,3,3,6,2,5,4,2,0,0,1,0,3,15,0
45,2018/2019,5,Real-Madrid/Espanyol,Real-Madrid,Espanyol,64%,1,5,14,19,3,8,4,2,0,0,0,0,3,5,0,36%,0,3,7,10,4,3,2,2,0,0,1,0,3,15,0
46,2018/2019,5,Levante/Sevilla,Levante,Sevilla,49%,2,10,9,19,3,8,2,1,0,1,0,0,3,5,0,51%,6,9,11,20,8,4,1,1,0,4,0,0,3,18,0
47,2018/2019,5,Villarreal/Valencia-Cf,Villarreal,Valencia-Cf,55%,0,1,7,8,2,7,1,4,0,0,0,0,3,12,0,45%,0,2,10,12,1,6,2,1,1,0,0,1,3,12,0
48,2018/2019,5,Betis/Athletic-Bilbao,Betis,Athletic-Bilbao,70%,2,3,11,14,2,6,1,2,0,2,0,0,3,13,0,30%,2,4,3,7,1,1,5,7,1,2,0,0,3,18,0
49,2018/2019,5,Barcelona/Girona-Fc,Barcelona,Girona-Fc,66%,2,11,11,22,4,8,1,3,1,1,1,0,3,9,0,34%,2,6,1,7,9,2,1,5,0,1,0,0,3,15,0
50,2018/2019,6,Espanyol/Eibar,Espanyol,Eibar,46%,1,5,4,9,1,4,1,2,0,1,0,0,3,7,0,54%,0,1,6,7,4,3,1,2,0,0,0,1,3,8,0
51,2018/2019,6,Real-Sociedad/Rayo-Vallecano,Real-Sociedad,Rayo-Vallecano,55%,2,6,9,15,4,8,6,4,0,2,1,0,3,12,0,45%,2,6,5,11,4,5,0,3,0,0,0,1,3,16,0
52,2018/2019,6,Atletico-Madrid/Huesca,Atletico-Madrid,Huesca,58%,3,5,11,16,1,4,1,0,0,3,0,1,3,1,0,42%,0,1,6,7,2,2,2,2,0,0,0,1,3,14,0
53,2018/2019,6,Athletic-Bilbao/Villarreal,Athletic-Bilbao,Villarreal,65%,0,2,9,11,3,6,3,1,0,0,0,0,3,3,0,35%,3,6,12,18,2,4,0,1,0,2,0,0,3,14,0
54,2018/2019,6,Leganes/Barcelona,Leganes,Barcelona,23%,2,6,4,10,4,4,1,4,0,1,0,1,3,15,0,77%,1,5,4,9,4,5,5,2,0,1,1,0,3,11,0
55,2018/2019,6,Valencia-Cf/Celta,Valencia-Cf,Celta,36%,1,4,9,13,2,0,1,1,0,1,0,0,3,18,0,64%,1,3,6,9,3,2,2,3,0,1,0,0,3,7,0
56,2018/2019,6,Sevilla/Real-Madrid,Sevilla,Real-Madrid,39%,3,7,9,16,3,5,3,3,0,2,1,1,3,15,0,61%,0,3,16,19,4,6,5,4,0,0,1,1,3,12,0
57,2018/2019,6,Alaves/Getafe,Alaves,Getafe,48%,1,2,13,15,4,5,3,4,0,1,1,0,3,8,0,52%,1,5,8,13,1,7,4,2,0,1,0,0,3,21,0
58,2018/2019,6,Valladolid/Levante,Valladolid,Levante,65%,2,6,14,20,3,8,2,1,0,2,0,2,3,16,0,35%,1,4,5,9,4,6,1,3,1,0,0,0,3,10,0
59,2018/2019,6,Girona-Fc/Betis,Girona-Fc,Betis,34%,0,1,5,6,5,5,3,1,0,0,1,0,3,17,0,66%,1,6,8,14,1,1,1,3,0,1,1,0,3,13,0
60,2018/2019,7,Rayo-Vallecano/Espanyol,Rayo-Vallecano,Espanyol,53%,2,5,6,11,3,5,1,3,0,1,0,0,3,11,0,47%,2,5,6,11,3,3,0,3,0,0,0,0,3,16,0
61,2018/2019,7,Real-Sociedad/Valencia-Cf,Real-Sociedad,Valencia-Cf,54%,0,5,5,10,1,3,3,3,0,0,0,1,3,13,0,46%,1,2,7,9,5,0,1,5,0,1,0,0,3,17,0
62,2018/2019,7,Barcelona/Athletic-Bilbao,Barcelona,Athletic-Bilbao,69%,1,8,11,19,1,4,2,2,0,1,2,1,3,9,0,31%,1,2,6,8,7,3,3,3,0,1,0,1,3,17,0
63,2018/2019,7,Eibar/Sevilla,Eibar,Sevilla,60%,1,0,8,8,2,6,1,2,0,1,0,0,3,11,0,40%,3,5,0,5,0,3,1,2,0,2,0,0,3,5,0
64,2018/2019,7,Real-Madrid/Atletico-Madrid,Real-Madrid,Atletico-Madrid,53%,2,5,7,12,1,7,1,4,0,1,0,1,3,22,0,47%,4,5,2,7,3,4,2,2,0,4,0,0,3,15,0
65,2018/2019,7,Huesca/Girona-Fc,Huesca,Girona-Fc,55%,1,4,8,12,1,5,3,4,0,0,0,1,3,13,0,45%,1,2,10,12,3,5,0,2,0,0,0,0,3,13,0
66,2018/2019,7,Villarreal/Valladolid,Villarreal,Valladolid,62%,0,7,19,26,2,7,0,3,0,0,1,0,3,17,0,38%,1,3,6,9,7,2,2,3,0,0,0,0,3,12,0
67,2018/2019,7,Levante/Alaves,Levante,Alaves,49%,2,4,9,13,1,9,3,4,0,1,0,1,3,20,0,51%,1,2,10,12,2,3,0,1,0,1,1,1,3,19,0
68,2018/2019,7,Betis/Leganes,Betis,Leganes,85%,1,4,12,16,5,7,4,0,0,1,0,0,3,7,0,15%,0,5,6,11,3,1,1,3,0,0,0,0,3,9,0
69,2018/2019,7,Celta/Getafe,Celta,Getafe,53%,1,2,6,8,3,3,3,2,0,1,0,0,3,13,0,47%,1,4,8,12,1,9,1,2,0,1,1,0,3,15,0
70,2018/2019,8,Athletic-Bilbao/Real-Sociedad,Athletic-Bilbao,Real-Sociedad,68%,1,5,8,13,0,11,2,6,0,0,0,1,3,14,0,32%,3,3,3,6,4,0,0,5,0,1,0,0,3,18,0
71,2018/2019,8,Girona-Fc/Eibar,Girona-Fc,Eibar,52%,2,3,7,10,1,4,4,3,0,2,0,0,3,9,0,48%,3,4,8,12,1,9,0,6,0,2,0,0,3,17,0
